Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.560288,0.565746,0.554831,38.500000,0.560288,163200
1962-01-03,0.560288,0.565746,0.554831,38.875000,0.565746,156000
1962-01-04,0.578479,0.596671,0.578479,39.875000,0.580299,355200
1962-01-05,0.580299,0.593032,0.578479,40.250000,0.585756,163200
1962-01-08,0.585756,0.594852,0.582118,40.500000,0.589394,204000
1962-01-09,0.589394,0.600309,0.583937,40.875000,0.594852,290400
1962-01-10,0.594852,0.598490,0.585756,40.375000,0.587575,182400
1962-01-11,0.587575,0.596671,0.582118,41.000000,0.596671,384000
1962-01-12,0.596671,0.607585,0.589394,41.250000,0.600309,352800
1962-01-15,0.600309,0.603947,0.589394,41.125000,0.598490,280800
1962-01-16,0.596661,0.596661,0.589340,40.500000,0.593000,163200
1962-01-17,0.593000,0.600321,0.589340,40.375000,0.591170,160800
1962-01-18,0.591170,0.603982,0.591170,41.250000,0.603982,261600
1962-01-19,0.603982,0.614963,0.593000,42.000000,0.614963,357600
1962-01-22,0.614963,0.622284,0.613133,41.875000,0.613133,261600
1962-01-23,0.613133,0.618624,0.600321,41.000000,0.600321,223200
1962-01-24,0.600321,0.600321,0.585679,40.750000,0.596661,120000
1962-01-25,0.596661,0.605812,0.594831,41.000000,0.600321,151200
1962-01-26,0.600321,0.605812,0.593000,41.000000,0.600321,108000
1962-01-29,0.600321,0.605812,0.598491,41.375000,0.605812,122400
1962-01-30,0.603982,0.603982,0.594831,40.750000,0.596661,120000
1962-01-31,0.596661,0.605812,0.596661,41.000000,0.600321,189600
1962-02-01,0.600321,0.614963,0.600321,41.750000,0.611302,112800
1962-02-02,0.611302,0.613133,0.605812,41.500000,0.607642,199200
1962-02-05,0.607642,0.609472,0.605812,41.375000,0.605812,96000
1962-02-06,0.607642,0.613133,0.607642,41.625000,0.609472,105600
1962-02-07,0.609472,0.613133,0.602151,41.125000,0.602151,122400
1962-02-08,0.602151,0.603982,0.602151,41.125000,0.602151,141600
1962-02-09,0.602151,0.603982,0.594831,40.625000,0.594831,115200
1962-02-12,0.594831,0.596661,0.587510,40.750000,0.596661,98400
1962-02-13,0.596661,0.598491,0.591170,40.625000,0.594831,86400
1962-02-14,0.594831,0.594831,0.585679,40.250000,0.589340,177600
1962-02-15,0.587510,0.587510,0.578358,40.000000,0.585679,60000
1962-02-16,0.585679,0.593000,0.574697,40.250000,0.589340,88800
1962-02-19,0.589340,0.594831,0.583849,40.250000,0.589340,170400
1962-02-20,0.589340,0.591170,0.585679,40.125000,0.587510,67200
1962-02-21,0.587510,0.587510,0.571037,39.250000,0.574697,98400
1962-02-23,0.574697,0.582019,0.571037,39.250000,0.574697,96000
1962-02-26,0.585679,0.596661,0.585679,40.750000,0.596661,158400
1962-02-27,0.596661,0.600321,0.589340,40.375000,0.591170,117600
1962-02-28,0.591170,0.598491,0.585679,40.375000,0.591170,139200
1962-03-01,0.591170,0.598491,0.591170,40.375000,0.591170,74400
1962-03-02,0.591170,0.593000,0.585679,40.500000,0.593000,105600
1962-03-05,0.593000,0.594831,0.585679,40.500000,0.593000,79200
1962-03-06,0.593000,0.598491,0.585679,40.250000,0.589340,98400
1962-03-07,0.589340,0.589340,0.578358,39.750000,0.582019,172800
1962-03-08,0.582019,0.583849,0.574697,39.375000,0.576528,98400
1962-03-09,0.576528,0.578358,0.574697,39.250000,0.574697,86400
1962-03-12,0.574697,0.576528,0.567377,38.750000,0.567377,96000
1962-03-13,0.567377,0.574697,0.558225,39.000000,0.571037,141600
1962-03-14,0.572868,0.583849,0.572868,39.875000,0.583849,117600
1962-03-15,0.583849,0.583849,0.574697,39.500000,0.578358,139200
1962-03-16,0.578358,0.583849,0.578358,39.875000,0.583849,79200
1962-03-19,0.583849,0.591170,0.580188,39.875000,0.583849,105600
1962-03-20,0.585679,0.596661,0.585679,40.750000,0.596661,177600
1962-03-21,0.596661,0.598491,0.578358,39.750000,0.582019,232800
1962-03-22,0.585679,0.594831,0.585679,40.375000,0.591170,268800
1962-03-23,0.591170,0.596661,0.587510,40.375000,0.591170,189600
1962-03-26,0.591170,0.593000,0.582019,40.125000,0.587510,124800
1962-03-27,0.587510,0.589340,0.585679,40.125000,0.587510,112800
1962-03-28,0.587510,0.598491,0.587510,40.875000,0.598491,146400
1962-03-29,0.598491,0.598491,0.589340,40.375000,0.591170,91200
1962-03-30,0.591170,0.598491,0.589340,40.875000,0.598491,86400
1962-04-02,0.596661,0.596661,0.583849,40.125000,0.587510,230400
1962-04-03,0.587510,0.594831,0.583849,40.000000,0.585679,168000
1962-04-04,0.585679,0.591170,0.583849,40.125000,0.587510,115200
1962-04-05,0.587510,0.593000,0.585679,40.500000,0.593000,192000
1962-04-06,0.591170,0.591170,0.583849,40.375000,0.591170,148800
1962-04-09,0.591170,0.591170,0.583849,39.875000,0.583849,124800
1962-04-10,0.583849,0.589340,0.580188,40.250000,0.589340,120000
1962-04-11,0.589340,0.594831,0.582019,40.125000,0.587510,182400
1962-04-12,0.583849,0.583849,0.574697,39.750000,0.582019,158400
1962-04-13,0.580188,0.580188,0.567377,38.750000,0.567377,38400
1962-04-16,0.569220,0.569220,0.548957,37.750000,0.556325,129600
1962-04-17,0.558167,0.572904,0.558167,38.250000,0.563694,172800
1962-04-18,0.563694,0.571062,0.560010,38.500000,0.567378,132000
1962-04-19,0.567378,0.574746,0.567378,38.500000,0.567378,81600
1962-04-23,0.565536,0.565536,0.545272,37.125000,0.547115,136800
1962-04-24,0.548957,0.556325,0.548957,37.750000,0.556325,103200
1962-04-25,0.552641,0.552641,0.541588,36.750000,0.541588,120000
1962-04-26,0.543430,0.558167,0.543430,37.250000,0.548957,163200
1962-04-27,0.548957,0.550799,0.537904,37.000000,0.545272,182400
1962-04-30,0.545272,0.545272,0.519482,35.500000,0.523166,187200
1962-05-01,0.523166,0.528693,0.504745,35.750000,0.526851,228000
1962-05-02,0.526851,0.536061,0.526851,36.000000,0.530535,139200
1962-05-03,0.530535,0.554483,0.528693,37.625000,0.554483,79200
1962-05-04,0.554483,0.560010,0.548957,37.250000,0.548957,76800
1962-05-07,0.548957,0.552641,0.545272,37.250000,0.548957,182400
1962-05-08,0.548957,0.556325,0.547115,37.250000,0.548957,129600
1962-05-09,0.548957,0.552641,0.530535,37.000000,0.545272,96000
1962-05-10,0.543430,0.543430,0.519482,35.375000,0.521324,16800
1962-05-11,0.521324,0.521324,0.513956,35.375000,0.521324,141600
1962-05-14,0.521324,0.541588,0.512114,34.750000,0.512114,146400
1962-05-15,0.530535,0.543430,0.530535,36.625000,0.539746,132000
1962-05-16,0.539746,0.539746,0.532377,36.375000,0.536061,103200
