Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.219112,0.222618,0.219112,62.500000,0.219112,10924800
1980-03-18,0.219112,0.220865,0.217359,62.000000,0.217359,17068800
1980-03-19,0.222618,0.226124,0.222618,63.500000,0.222618,18508800
1980-03-20,0.222618,0.225247,0.221741,63.250000,0.221741,11174400
1980-03-21,0.217359,0.217359,0.213854,61.000000,0.213854,12172800
1980-03-24,0.212977,0.212977,0.209471,59.750000,0.209471,8966400
1980-03-25,0.210348,0.213854,0.210348,60.000000,0.210348,11347200
1980-03-26,0.210348,0.212101,0.208595,59.500000,0.208595,16262400
1980-03-27,0.205089,0.205089,0.201583,57.500000,0.201583,26918400
1980-03-28,0.209471,0.212977,0.209471,59.750000,0.209471,20102400
1980-03-31,0.216483,0.219989,0.216483,61.750000,0.216483,9004800
1980-04-01,0.217359,0.220865,0.217359,62.000000,0.217359,8179200
1980-04-02,0.219112,0.222618,0.219112,62.500000,0.219112,12556800
1980-04-03,0.218236,0.218236,0.214730,61.250000,0.214730,6988800
1980-04-07,0.212977,0.212977,0.209471,59.750000,0.209471,13478400
1980-04-08,0.210348,0.213854,0.210348,60.000000,0.210348,29184000
1980-04-09,0.209471,0.209471,0.205966,58.750000,0.205966,11558400
1980-04-10,0.205966,0.208595,0.205089,58.500000,0.205089,14784000
1980-04-11,0.205089,0.208595,0.205089,58.500000,0.205089,9523200
1980-04-14,0.206842,0.210348,0.206842,59.000000,0.206842,8025600
1980-04-15,0.206842,0.207718,0.204213,58.250000,0.204213,10598400
1980-04-16,0.199830,0.199830,0.196325,56.000000,0.196325,10752000
1980-04-17,0.196325,0.196325,0.192819,55.000000,0.192819,17702400
1980-04-18,0.195448,0.198954,0.195448,55.750000,0.195448,18739200
1980-04-21,0.195448,0.197201,0.193695,55.250000,0.193695,9043200
1980-04-22,0.202460,0.205966,0.202460,57.750000,0.202460,20428800
1980-04-23,0.214730,0.218236,0.214730,61.250000,0.214730,14822400
1980-04-24,0.215606,0.219112,0.215606,61.500000,0.215606,8832000
1980-04-25,0.215606,0.215606,0.212101,60.500000,0.212101,7104000
1980-04-28,0.212101,0.213854,0.210348,60.000000,0.210348,6931200
1980-04-29,0.212101,0.215606,0.212101,60.500000,0.212101,6297600
1980-04-30,0.214730,0.218236,0.214730,61.250000,0.214730,7065600
1980-05-01,0.215606,0.219112,0.215606,61.500000,0.215606,7008000
1980-05-02,0.219112,0.222618,0.219112,62.500000,0.219112,5510400
1980-05-05,0.221741,0.225247,0.221741,63.250000,0.221741,3513600
1980-05-06,0.221741,0.224371,0.220865,63.000000,0.220865,6988800
1980-05-07,0.220865,0.224371,0.220865,63.000000,0.220865,6393600
1980-05-08,0.220865,0.221741,0.218236,62.250000,0.218236,7468800
1980-05-09,0.220865,0.224371,0.220865,63.000000,0.220865,16684800
1980-05-12,0.220865,0.223495,0.219989,62.750000,0.219989,8582400
1980-05-13,0.224371,0.227877,0.224371,64.000000,0.224371,7372800
1980-05-14,0.227877,0.231383,0.227877,65.000000,0.227877,4742400
1980-05-15,0.229630,0.233135,0.229630,65.500000,0.229630,8102400
1980-05-16,0.232259,0.235765,0.232259,66.250000,0.232259,4838400
1980-05-19,0.233135,0.236641,0.233135,66.500000,0.233135,8640000
1980-05-20,0.233135,0.234012,0.230506,65.750000,0.230506,21811200
1980-05-21,0.228753,0.228753,0.225247,64.250000,0.225247,10540800
1980-05-22,0.225247,0.226124,0.222618,63.500000,0.222618,5318400
1980-05-23,0.230506,0.234012,0.230506,65.750000,0.230506,29779200
1980-05-27,0.230506,0.233135,0.229630,65.500000,0.229630,8332800
1980-05-28,0.234888,0.238394,0.234888,67.000000,0.234888,6700800
1980-05-29,0.234888,0.238394,0.234888,67.000000,0.234888,7660800
1980-05-30,0.238394,0.241900,0.238394,68.000000,0.238394,5721600
1980-06-02,0.239271,0.242776,0.239271,68.250000,0.239271,6355200
1980-06-03,0.236641,0.236641,0.233135,66.500000,0.233135,15244800
1980-06-04,0.236641,0.240147,0.236641,67.500000,0.236641,7680000
1980-06-05,0.236641,0.240147,0.236641,67.500000,0.236641,6470400
1980-06-06,0.236641,0.238394,0.234888,67.000000,0.234888,28723200
1980-06-09,0.234888,0.236641,0.233135,66.500000,0.233135,7545600
1980-06-10,0.235765,0.239271,0.235765,67.250000,0.235765,17280000
1980-06-11,0.238394,0.241900,0.238394,68.000000,0.238394,3206400
1980-06-12,0.238394,0.238394,0.234888,67.000000,0.234888,10809600
1980-06-13,0.234888,0.238394,0.234888,67.000000,0.234888,3590400
1980-06-16,0.234888,0.238394,0.234888,67.000000,0.234888,7987200
1980-06-17,0.234888,0.237518,0.234012,66.750000,0.234012,12864000
1980-06-18,0.234012,0.235765,0.232259,66.250000,0.232259,8064000
1980-06-19,0.231383,0.231383,0.227877,65.000000,0.227877,13689600
1980-06-20,0.228753,0.232259,0.228753,65.250000,0.228753,7027200
1980-06-23,0.228753,0.232259,0.228753,65.250000,0.228753,9888000
1980-06-24,0.228753,0.232259,0.228753,65.250000,0.228753,9676800
1980-06-25,0.231383,0.234888,0.231383,66.000000,0.231383,15494400
1980-06-26,0.231383,0.234888,0.231383,66.000000,0.231383,10156800
1980-06-27,0.232259,0.235765,0.232259,66.250000,0.232259,6912000
1980-06-30,0.232259,0.234012,0.230506,65.750000,0.230506,5337600
1980-07-01,0.234012,0.237518,0.234012,66.750000,0.234012,9811200
1980-07-02,0.235765,0.239271,0.235765,67.250000,0.235765,6585600
1980-07-03,0.237518,0.241023,0.237518,67.750000,0.237518,4550400
1980-07-07,0.246282,0.248035,0.246282,70.250000,0.246282,19545600
1980-07-08,0.251541,0.253294,0.251541,71.750000,0.251541,13190400
1980-07-09,0.251541,0.252417,0.251541,71.750000,0.251541,9388800
