Date,Open,High,Low,Close,Adj Close,Volume
1983-12-30,2.554943,2.583977,2.525912,44.000008,2.554943,211500
1984-01-03,2.551314,2.569459,2.533166,44.000008,2.554943,385500
1984-01-04,2.603937,2.663817,2.569459,45.874981,2.663817,292500
1984-01-05,2.718257,2.750920,2.685594,47.375008,2.750920,344100
1984-01-06,2.721886,2.750920,2.692852,46.875015,2.721886,194400
1984-01-09,2.729142,2.750920,2.707368,46.999981,2.729142,216300
1984-01-10,2.769063,2.801728,2.736400,47.875008,2.779951,143100
1984-01-11,2.779951,2.845278,2.750920,48.874992,2.838018,397800
1984-01-12,2.838018,2.881568,2.823502,49.374992,2.867051,297900
1984-01-13,2.896085,2.917862,2.874311,49.625008,2.881568,591300
1984-01-16,2.867051,2.881568,2.852535,49.125011,2.852535,103800
1984-01-17,2.852535,2.852535,2.787211,48.249992,2.801728,134100
1984-01-18,2.841649,2.874311,2.808984,49.374992,2.867051,1352700
1984-01-19,2.867051,2.881568,2.852535,49.374992,2.867051,245100
1984-01-20,2.867051,2.867051,2.830760,49.000008,2.845278,168300
1984-01-23,2.870680,2.888830,2.852535,49.625008,2.881568,246000
1984-01-24,2.899713,2.917862,2.881568,50.250011,2.917862,292500
1984-01-25,2.957780,2.975929,2.939636,50.750008,2.946894,243000
1984-01-26,2.946894,2.954155,2.910601,50.250011,2.917862,212400
1984-01-27,2.917862,2.917862,2.881568,49.999992,2.903343,183000
1984-01-30,2.888830,2.896085,2.881568,49.750019,2.888830,99900
1984-01-31,2.888830,2.975929,2.888830,50.499992,2.932376,352200
1984-02-01,2.932376,2.961410,2.881568,49.750019,2.888830,225300
1984-02-02,2.888830,2.896085,2.867051,49.374992,2.867051,230700
1984-02-03,2.903343,2.932376,2.874311,49.750019,2.888830,319800
1984-02-06,2.841649,2.881568,2.801728,48.625019,2.823502,67500
1984-02-07,2.787211,2.808984,2.765435,48.000011,2.787211,212400
1984-02-08,2.787211,2.838018,2.765435,48.249992,2.801728,395100
1984-02-09,2.801728,2.816243,2.772693,48.000011,2.787211,196500
1984-02-10,2.787211,2.823502,2.787211,48.625019,2.823502,232500
1984-02-13,2.823502,2.845278,2.816243,48.500008,2.816243,324000
1984-02-14,2.816243,2.874311,2.808984,49.500000,2.874311,135000
1984-02-15,2.874311,2.932376,2.859793,50.250011,2.917862,543600
1984-02-16,2.917862,2.983186,2.903343,50.999989,2.961410,362100
1984-02-17,2.961410,2.968668,2.910601,50.125008,2.910601,654300
1984-02-21,2.910601,2.925116,2.881568,49.625008,2.881568,108000
1984-02-22,2.881568,2.896085,2.801728,48.249992,2.801728,197400
1984-02-23,2.801728,2.808984,2.736400,47.749992,2.772693,466200
1984-02-24,2.772693,2.801728,2.758179,48.000011,2.787211,66600
1984-02-27,2.787211,2.823502,2.736400,48.625019,2.823502,613200
1984-02-28,2.798096,2.816243,2.765435,48.000011,2.787211,294300
1984-02-29,2.787211,2.838018,2.779951,48.249992,2.801728,210000
1984-03-01,2.772693,2.787211,2.758179,47.749992,2.772693,273600
1984-03-02,2.772693,2.874311,2.772693,49.000008,2.845278,205500
1984-03-05,2.845278,2.859793,2.787211,48.249992,2.801728,532800
1984-03-06,2.801728,2.816243,2.772693,47.749992,2.772693,218100
1984-03-07,2.772693,2.772693,2.729142,46.999981,2.729142,150600
1984-03-08,2.729142,2.772693,2.729142,47.749992,2.772693,120900
1984-03-09,2.765890,2.780680,2.751097,46.499985,2.751097,381900
1984-03-12,2.751097,2.773288,2.677147,45.250019,2.677147,427500
1984-03-13,2.710427,2.736310,2.684540,46.125000,2.728915,280200
1984-03-14,2.695634,2.721518,2.669751,45.499992,2.691936,327900
1984-03-15,2.691936,2.728915,2.677147,45.999992,2.721518,358500
1984-03-16,2.810265,2.839847,2.780680,47.375008,2.802868,230700
1984-03-19,2.762194,2.795473,2.728915,46.624992,2.758496,196200
1984-03-20,2.780680,2.810265,2.751097,47.500019,2.810265,227700
1984-03-21,2.810265,2.839847,2.810265,48.000011,2.839847,90300
1984-03-22,2.839847,2.862031,2.810265,47.500019,2.810265,125400
1984-03-23,2.810265,2.832450,2.788075,47.124992,2.788075,51300
1984-03-26,2.788075,2.802868,2.773288,47.124992,2.788075,75600
1984-03-27,2.788075,2.795473,2.758496,46.999981,2.780680,527700
1984-03-28,2.780680,2.795473,2.773288,46.999981,2.780680,97500
1984-03-29,2.780680,2.795473,2.751097,46.499985,2.751097,125100
1984-03-30,2.751097,2.751097,2.684540,45.374985,2.684540,207900
1984-04-02,2.706728,2.728915,2.684540,45.374985,2.684540,253200
1984-04-03,2.684540,2.714121,2.632772,44.500008,2.632772,105600
1984-04-04,2.632772,2.654959,2.617980,44.249985,2.617980,281700
1984-04-05,2.617980,2.632772,2.566214,43.375008,2.566214,290100
1984-04-06,2.566214,2.566214,2.529236,42.875008,2.536633,65700
1984-04-09,2.536633,2.558817,2.499655,42.624992,2.521840,215400
1984-04-10,2.544029,2.558817,2.529236,42.750000,2.529236,57900
1984-04-11,2.544029,2.551422,2.536633,43.124985,2.551422,86700
1984-04-12,2.551422,2.654959,2.507051,44.874992,2.654959,372900
1984-04-13,2.654959,2.677147,2.654959,44.874992,2.654959,136200
1984-04-16,2.617980,2.651261,2.595796,29.625000,2.629076,75900
1984-04-17,2.629076,2.684540,2.629076,30.000000,2.662356,137100
1984-04-18,2.662356,2.684540,2.651261,29.874990,2.651261,55800
1984-04-19,2.651261,2.684540,2.651261,30.000000,2.662356,111900
1984-04-23,2.662356,2.662356,2.595796,30.000000,2.662356,73500
1984-04-24,2.662356,2.728915,2.662356,30.375000,2.695634,186000
1984-04-25,2.740008,2.773288,2.706728,30.999990,2.751097,184200
1984-04-26,2.751097,2.795473,2.717820,31.250010,2.773288,203400
1984-04-27,2.773288,2.828751,2.751097,31.500000,2.795473,206700
1984-04-30,2.795473,2.817658,2.773288,31.625010,2.806566,88800
1984-05-01,2.806566,2.850938,2.795473,32.124992,2.850938,225000
1984-05-02,2.934138,2.950776,2.917495,32.874992,2.917495,138000
1984-05-03,2.917495,2.950776,2.895311,32.874992,2.917495,111900
1984-05-04,2.917495,2.917495,2.850938,32.250000,2.862031,102300
1984-05-07,2.862031,2.906405,2.862031,32.250000,2.862031,47700
1984-05-08,2.906405,2.928590,2.884217,32.625000,2.895311,331200
1984-05-09,2.895311,2.895311,2.751097,31.250010,2.773288,290100
1984-05-10,2.773288,2.806566,2.751097,31.250010,2.773288,282900
1984-05-11,2.712274,2.751097,2.617980,29.750010,2.640171,273000
1984-05-14,2.612438,2.629076,2.595796,29.375010,2.606889,241200
1984-05-15,2.606889,2.673448,2.606889,30.000000,2.662356,248400
1984-05-16,2.662356,2.662356,2.629076,29.874990,2.651261,114000
1984-05-17,2.651261,2.662356,2.606889,29.499990,2.617980,188100
1984-05-18,2.617980,2.662356,2.617980,29.874990,2.651261,62700
1984-05-21,2.651261,2.651261,2.606889,29.375010,2.606889,622500
1984-05-22,2.562517,2.584702,2.440493,28.250010,2.507051,105600
1984-05-23,2.507051,2.540331,2.429399,27.375000,2.429399,221100
1984-05-24,2.473771,2.595796,2.440493,27.624990,2.451585,4020000
1984-05-25,2.451585,2.484864,2.407212,27.500010,2.440493,230100
1984-05-29,2.440493,2.451585,2.307374,26.499990,2.351747,217500
1984-05-30,2.218628,2.329561,2.196442,25.125000,2.229724,1063200
1984-05-31,2.229724,2.240816,2.085511,24.125010,2.140979,388800
1984-06-01,2.140979,2.163163,2.085511,24.000000,2.129884,741000
1984-06-04,2.218628,2.307374,2.174258,25.374990,2.251908,584700
1984-06-05,2.251908,2.274095,2.196442,25.125000,2.229724,5370300
1984-06-06,2.229724,2.274095,2.229724,25.625010,2.274095,365700
1984-06-07,2.274095,2.285186,2.251908,25.625010,2.274095,904800
1984-06-08,2.285186,2.307374,2.263001,26.000010,2.307374,708000
1984-06-11,2.304197,2.304197,2.224743,24.750000,2.247443,198900
1984-06-12,2.224743,2.224743,2.156640,24.500010,2.224743,691500
1984-06-13,2.236092,2.258794,2.202039,24.375000,2.213391,424500
1984-06-14,2.202039,2.202039,2.133935,23.874990,2.167987,614700
1984-06-15,2.179340,2.213391,2.156640,24.000000,2.179340,358500
1984-06-18,2.202039,2.292848,2.179340,25.250010,2.292848,235200
1984-06-19,2.292848,2.338248,2.281495,25.625010,2.326899,170700
1984-06-20,2.304197,2.406352,2.281495,26.499990,2.406352,340200
1984-06-21,2.406352,2.474457,2.383652,27.000000,2.451755,424800
1984-06-22,2.429055,2.429055,2.383652,26.375010,2.395003,179100
1984-06-25,2.372301,2.417703,2.360951,26.124990,2.372301,123900
1984-06-26,2.349600,2.349600,2.326899,25.749990,2.338248,346800
1984-06-27,2.315548,2.338248,2.281495,25.250010,2.292848,100500
1984-06-28,2.292848,2.292848,2.224743,24.875010,2.258794,195900
1984-06-29,2.167987,2.213391,2.133935,24.000000,2.179340,724500
1984-07-02,2.179340,2.236092,2.156640,24.375000,2.213391,532500
1984-07-03,2.236092,2.315548,2.236092,25.250010,2.292848,528000
1984-07-05,2.292848,2.326899,2.292848,25.625010,2.326899,87900
1984-07-06,2.304197,2.315548,2.281495,25.250010,2.292848,112200
1984-07-09,2.281495,2.406352,2.281495,26.499990,2.406352,159600
1984-07-10,2.395003,2.429055,2.360951,26.375010,2.395003,237600
1984-07-11,2.383652,2.395003,2.360951,26.124990,2.372301,354300
1984-07-12,2.372301,2.372301,2.304197,25.749990,2.338248,106200
1984-07-13,2.338248,2.360951,2.315548,26.000010,2.360951,125400
1984-07-16,2.349600,2.360951,2.326899,25.875000,2.349600,63000
1984-07-17,2.372301,2.463108,2.360951,27.000000,2.451755,283500
1984-07-18,2.451755,2.474457,2.383652,26.250000,2.383652,225000
1984-07-19,2.383652,2.383652,2.258794,25.125000,2.281495,287400
1984-07-20,2.281495,2.338248,2.247443,24.875010,2.258794,327900
1984-07-23,2.247443,2.270143,2.224743,24.875010,2.258794,260400
1984-07-24,2.247443,2.247443,2.190691,24.624990,2.236092,647700
1984-07-25,2.213391,2.258794,2.213391,24.750000,2.247443,726300
1984-07-26,2.247443,2.326899,2.247443,25.625010,2.326899,90000
1984-07-27,2.338248,2.485808,2.326899,27.375000,2.485808,325800
1984-07-30,2.429055,2.451755,2.395003,26.499990,2.406352,153300
1984-07-31,2.406352,2.417703,2.383652,26.499990,2.406352,151200
1984-08-01,2.360951,2.474457,2.326899,26.874990,2.440403,428100
1984-08-02,2.429055,2.474457,2.406352,27.249990,2.474457,1133400
1984-08-03,2.497159,2.565264,2.485808,27.875010,2.531213,1203000
1984-08-06,2.587965,2.599316,2.531213,28.125000,2.553912,896100
1984-08-07,2.553912,2.576612,2.531213,27.999990,2.542561,264300
1984-08-08,2.542561,2.576612,2.531213,27.875010,2.531213,267000
1984-08-09,2.553912,2.610665,2.531213,28.749990,2.610665,1067400
1984-08-10,2.724173,2.746874,2.633368,29.499990,2.678769,783000
1984-08-13,2.678769,2.678769,2.633368,29.250000,2.656068,80100
1984-08-14,2.667421,2.667421,2.587965,28.875000,2.622016,211800
1984-08-15,2.610665,2.610665,2.497159,27.750000,2.519860,151500
1984-08-16,2.497159,2.610665,2.485808,28.374990,2.576612,372900
1984-08-17,2.587965,2.599316,2.576612,28.500000,2.587965,173700
1984-08-20,2.587965,2.587965,2.553912,28.500000,2.587965,170700
1984-08-21,2.565264,2.644718,2.542561,29.000010,2.633368,668700
1984-08-22,2.656068,2.656068,2.587965,29.124990,2.644718,356100
1984-08-23,2.644718,2.667421,2.622016,29.124990,2.644718,328200
1984-08-24,2.633368,2.644718,2.587965,28.875000,2.622016,141900
1984-08-27,2.622016,2.622016,2.553912,28.625010,2.599316,141300
1984-08-28,2.599316,2.633368,2.587965,28.625010,2.599316,166500
1984-08-29,2.610665,2.610665,2.576612,28.500000,2.587965,258600
1984-08-30,2.565264,2.565264,2.531213,27.999990,2.542561,118500
1984-08-31,2.497159,2.519860,2.463108,27.500010,2.497159,140700
1984-09-04,2.519860,2.519860,2.463108,27.375000,2.485808,1391700
1984-09-05,2.485808,2.497159,2.451755,27.249990,2.474457,203400
1984-09-06,2.474457,2.519860,2.463108,27.750000,2.519860,499200
1984-09-07,2.519860,2.553912,2.519860,27.875010,2.531213,1620900
1984-09-10,2.516369,2.562752,2.516369,27.500010,2.551159,840900
1984-09-11,2.713503,2.713503,2.632330,29.000010,2.690312,776700
1984-09-12,2.678715,2.713503,2.655523,29.124990,2.701908,286800
1984-09-13,2.713503,2.875851,2.713503,30.875010,2.864256,938400
1984-09-14,2.922234,2.945426,2.899044,31.500000,2.922234,564300
1984-09-17,2.899044,2.968620,2.875851,32.000008,2.968620,365100
1984-09-18,2.968620,2.968620,2.910638,31.625010,2.933832,117000
1984-09-19,2.875851,2.910638,2.852657,30.999990,2.875851,407100
1984-09-20,2.875851,3.038198,2.875851,32.250000,2.991813,398400
1984-09-21,3.015005,3.026600,2.933832,31.749990,2.945426,612300
1984-09-24,2.945426,2.957023,2.817868,30.875010,2.864256,105300
1984-09-25,2.829467,2.864256,2.806273,30.750000,2.852657,155700
1984-09-26,2.875851,2.875851,2.817868,30.500010,2.829467,299100
1984-09-27,2.852657,2.887447,2.852657,31.125000,2.887447,408600
1984-09-28,2.899044,2.899044,2.806273,30.500010,2.829467,194100
1984-10-01,2.759890,2.759890,2.713503,29.250000,2.713503,724200
1984-10-02,2.713503,2.725102,2.667120,29.250000,2.713503,408300
1984-10-03,2.690312,2.690312,2.562752,28.125000,2.609139,489000
1984-10-04,2.597539,2.632330,2.597539,28.125000,2.609139,168600
1984-10-05,2.620735,2.620735,2.597539,27.999990,2.597539,584400
1984-10-08,2.597539,2.597539,2.527964,27.999990,2.597539,169200
1984-10-09,2.597539,2.620735,2.585948,27.999990,2.597539,648000
1984-10-10,2.585948,2.620735,2.562752,28.125000,2.609139,358500
1984-10-11,2.632330,2.713503,2.632330,29.000010,2.690312,1082700
1984-10-12,2.713503,2.783082,2.713503,29.750010,2.759890,984000
1984-10-15,2.736696,2.806273,2.725102,29.874990,2.771485,966600
1984-10-16,2.771485,2.783082,2.759890,30.000000,2.783082,553500
1984-10-17,2.759890,2.806273,2.736696,29.750010,2.759890,187800
1984-10-18,2.759890,2.864256,2.759890,30.875010,2.864256,1123500
1984-10-19,2.899044,2.910638,2.794678,30.500010,2.829467,1036500
1984-10-22,2.841060,2.852657,2.817868,30.375000,2.817868,332700
1984-10-23,2.841060,2.875851,2.794678,30.375000,2.817868,261300
1984-10-24,2.852657,2.852657,2.794678,30.249990,2.806273,40800
1984-10-25,2.806273,2.817868,2.759890,30.000000,2.783082,177300
1984-10-26,2.759890,2.783082,2.748292,29.750010,2.759890,122100
1984-10-29,2.771485,2.794678,2.759890,29.874990,2.771485,37800
1984-10-30,2.783082,2.841060,2.771485,30.375000,2.817868,1027800
1984-10-31,2.806273,2.817868,2.783082,30.000000,2.783082,309900
1984-11-01,2.806273,2.841060,2.806273,30.624990,2.841060,1022100
1984-11-02,2.829467,2.910638,2.829467,30.999990,2.875851,241800
1984-11-05,2.875851,2.945426,2.875851,31.625010,2.933832,79800
1984-11-06,2.945426,2.980215,2.933832,32.000008,2.968620,421800
1984-11-07,2.957023,2.968620,2.922234,32.000008,2.968620,310200
1984-11-08,2.957023,2.957023,2.922234,31.875000,2.957023,267600
1984-11-09,2.957023,2.957023,2.933832,31.625010,2.933832,199800
1984-11-12,2.957023,2.957023,2.864256,31.250010,2.899044,53700
1984-11-13,2.922234,2.922234,2.806273,30.750000,2.852657,94200
1984-11-14,2.875851,2.922234,2.875851,31.500000,2.922234,271800
1984-11-15,2.945426,3.015005,2.945426,32.000008,2.968620,737400
1984-11-16,2.968620,2.991813,2.933832,31.625010,2.933832,294300
1984-11-19,2.922234,2.922234,2.887447,31.250010,2.899044,76800
1984-11-20,2.910638,2.922234,2.887447,31.500000,2.922234,290700
1984-11-21,2.899044,2.945426,2.875851,31.500000,2.922234,282300
1984-11-23,2.922234,3.015005,2.922234,32.499992,3.015005,240300
1984-11-26,3.003409,3.003409,2.957023,32.124992,2.980215,191700
1984-11-27,2.980215,3.015005,2.968620,32.499992,3.015005,308700
1984-11-28,3.038198,3.061389,3.015005,33.000000,3.061389,205200
1984-11-29,3.038198,3.049792,3.026600,32.750008,3.038198,582900
1984-11-30,3.026600,3.026600,2.922234,32.124992,2.980215,906300
1984-12-03,2.957023,3.038198,2.945426,32.499992,3.015005,397200
1984-12-04,3.003409,3.154158,2.991813,33.624992,3.119370,1001100
1984-12-05,3.130967,3.142564,3.061389,33.000000,3.061389,1670700
1984-12-06,3.061389,3.119370,3.061389,33.249992,3.084580,1269600
1984-12-07,3.084580,3.130967,3.084580,33.500008,3.107775,249300
1984-12-10,3.128079,3.175292,3.104468,33.125008,3.128079,976500
1984-12-11,3.151685,3.163492,3.116273,33.000000,3.116273,1806900
1984-12-12,3.116273,3.163492,3.104468,33.375000,3.151685,1794300
1984-12-13,3.139882,3.163492,3.116273,33.125008,3.128079,2069700
1984-12-14,3.128079,3.210707,3.116273,33.624992,3.175292,1721700
1984-12-17,3.163492,3.234315,3.057255,34.250008,3.234315,377700
1984-12-18,3.281530,3.387768,3.269727,35.000008,3.305139,949500
1984-12-19,3.305139,3.340552,3.293335,35.000008,3.305139,533100
1984-12-20,3.293335,3.328746,3.198902,33.875008,3.198902,743400
1984-12-21,3.198902,3.222509,3.128079,33.125008,3.128079,215700
1984-12-24,3.151685,3.246117,3.151685,34.125000,3.222509,65700
1984-12-26,3.246117,3.246117,3.222509,34.125000,3.222509,77400
1984-12-27,3.234315,3.305139,3.210707,34.875000,3.293335,650700
1984-12-28,3.293335,3.305139,3.269727,34.749992,3.281530,473100
1984-12-31,3.234315,3.257922,3.139882,34.500000,3.257922,321300
1985-01-02,3.234315,3.246117,3.175292,34.374992,3.246117,162900
1985-01-03,3.234315,3.246117,3.210707,34.374992,3.246117,87300
1985-01-04,3.222509,3.246117,3.163492,33.500008,3.163492,495300
1985-01-07,3.187098,3.198902,3.128079,33.875008,3.198902,301500
1985-01-08,3.187098,3.222509,3.187098,33.999992,3.210707,337800
1985-01-09,3.234315,3.234315,3.198902,33.999992,3.210707,395700
1985-01-10,3.222509,3.340552,3.210707,35.124992,3.316942,698700
1985-01-11,3.316942,3.316942,3.269727,34.875000,3.293335,470700
1985-01-14,3.305139,3.364160,3.257922,35.375008,3.340552,465300
1985-01-15,3.423179,3.446788,3.375964,36.249992,3.423179,1166400
1985-01-16,3.446788,3.564829,3.446788,36.999992,3.494003,986700
1985-01-17,3.505808,3.564829,3.470395,37.500000,3.541219,388200
1985-01-18,3.564829,3.564829,3.423179,36.624992,3.458590,551400
1985-01-21,3.470395,3.541219,3.458590,37.374992,3.529416,504300
1985-01-22,3.517613,3.553025,3.505808,37.500000,3.541219,1063200
1985-01-23,3.541219,3.659262,3.517613,38.499992,3.635652,1024800
1985-01-24,3.635652,3.682868,3.564829,37.875000,3.576631,1039200
1985-01-25,3.659262,3.682868,3.612046,38.250000,3.612046,893400
1985-01-28,3.623849,3.623849,3.517613,37.625008,3.553025,230400
1985-01-29,3.553025,3.588436,3.494003,38.000008,3.588436,180900
1985-01-30,3.623849,3.623849,3.553025,37.625008,3.553025,489000
1985-01-31,3.517613,3.541219,3.494003,37.500000,3.541219,213300
1985-02-01,3.517613,3.576631,3.517613,37.749992,3.564829,316800
1985-02-04,3.564829,3.694674,3.564829,39.125008,3.694674,304200
1985-02-05,3.694674,3.765498,3.694674,39.624992,3.741889,334800
1985-02-06,3.777299,3.942561,3.777299,40.374992,3.812713,1901100
1985-02-07,3.812713,3.871733,3.800909,40.625008,3.836321,540000
1985-02-08,3.859928,3.918951,3.836321,41.375008,3.907148,598200
1985-02-11,3.907148,3.907148,3.836321,40.875000,3.859928,543300
1985-02-12,3.859928,3.859928,3.812713,40.374992,3.812713,305400
1985-02-13,3.812713,3.930755,3.812713,41.000008,3.871733,1089600
1985-02-14,3.918951,4.060598,3.918951,42.249992,3.989774,697200
1985-02-15,3.977971,4.013386,3.895344,41.625000,3.930755,229500
1985-02-19,3.942561,3.942561,3.883537,41.250000,3.895344,158400
1985-02-20,3.824518,3.836321,3.741889,39.875008,3.765498,919500
1985-02-21,3.765498,3.789105,3.623849,38.750008,3.659262,1057500
1985-02-22,3.647457,3.671063,3.588436,38.250000,3.612046,375300
1985-02-25,3.588436,3.588436,3.458590,37.625008,3.553025,561600
1985-02-26,3.553025,3.635652,3.541219,38.375008,3.623849,522300
1985-02-27,3.647457,3.789105,3.623849,39.500008,3.730083,1265400
1985-02-28,3.730083,3.765498,3.718280,39.375000,3.718280,1411800
1985-03-01,3.718280,3.800909,3.718280,40.250008,3.800909,580200
1985-03-04,3.777299,3.789105,3.730083,39.624992,3.741889,1133100
1985-03-05,3.730083,3.753693,3.730083,39.624992,3.741889,291300
1985-03-06,3.753693,3.753693,3.682868,39.125008,3.694674,234300
1985-03-07,3.671063,3.706476,3.659262,39.000000,3.682868,1189800
1985-03-08,3.694674,3.730083,3.659262,39.000000,3.682868,369300
1985-03-11,3.706381,3.706381,3.658400,38.124992,3.658400,621600
1985-03-12,3.634409,3.646405,3.598428,37.875000,3.634409,2201700
1985-03-13,3.646405,3.694384,3.574440,37.749992,3.622416,531000
1985-03-14,3.634409,3.682393,3.622416,38.250000,3.670395,1030800
1985-03-15,3.658400,3.682393,3.622416,37.749992,3.622416,1032900
1985-03-18,3.670395,3.670395,3.646405,38.124992,3.658400,90000
1985-03-19,3.646405,3.670395,3.622416,38.250000,3.670395,865200
1985-03-20,3.670395,3.682393,3.622416,38.000008,3.646405,369000
1985-03-21,3.634409,3.646405,3.574440,37.749992,3.622416,411600
1985-03-22,3.634409,3.634409,3.586428,37.749992,3.622416,240600
1985-03-25,3.622416,3.670395,3.598428,37.625008,3.610423,231300
1985-03-26,3.622416,3.634409,3.598428,37.500000,3.598428,135300
1985-03-27,3.574440,3.598428,3.562440,37.500000,3.598428,298200
1985-03-28,3.598428,3.634409,3.586428,37.749992,3.622416,3330000
1985-03-29,3.622416,3.634409,3.598428,37.500000,3.598428,849000
1985-04-01,3.610423,3.634409,3.598428,37.625008,3.610423,386400
1985-04-02,3.634409,3.670395,3.622416,38.000008,3.646405,1743900
1985-04-03,3.622416,3.622416,3.550447,37.250008,3.574440,322200
1985-04-04,3.598428,3.646405,3.574440,38.000008,3.646405,390900
1985-04-08,3.670395,3.694384,3.658400,38.124992,3.658400,293400
1985-04-09,3.646405,3.682393,3.646405,38.250000,3.670395,222600
1985-04-10,3.682393,3.754360,3.682393,39.000000,3.742363,366000
1985-04-11,3.766352,3.826327,3.766352,39.500008,3.790343,378300
1985-04-12,3.802336,3.814330,3.766352,39.500008,3.790343,88500
1985-04-15,3.814330,3.886302,3.802336,40.250008,3.862311,312600
1985-04-16,3.862311,3.862311,3.802336,39.999992,3.838322,308100
1985-04-17,3.838322,3.910290,3.826327,40.625008,3.898295,298200
1985-04-18,3.922284,3.922284,3.862311,40.500000,3.886302,198000
1985-04-19,3.886302,3.898295,3.862311,40.500000,3.886302,253800
1985-04-22,3.862311,3.874306,3.850316,40.125000,3.850316,261900
1985-04-23,3.838322,3.898295,3.838322,40.625008,3.898295,2493600
1985-04-24,3.910290,3.922284,3.874306,40.374992,3.874306,612300
1985-04-25,3.874306,3.886302,3.850316,40.250008,3.862311,342900
1985-04-26,3.862311,3.874306,3.850316,40.250008,3.862311,173100
1985-04-29,3.838322,3.838322,3.754360,39.249992,3.766352,140700
1985-04-30,3.790343,3.802336,3.634409,37.875000,3.634409,647700
1985-05-01,3.682393,3.694384,3.670395,38.375008,3.682393,978300
1985-05-02,3.682393,3.694384,3.658400,38.250000,3.670395,720300
1985-05-03,3.682393,3.742363,3.682393,38.499992,3.694384,607800
1985-05-06,3.694384,3.718373,3.682393,38.625000,3.706381,219600
1985-05-07,3.706381,3.790343,3.706381,39.500008,3.790343,778500
1985-05-08,3.778348,3.826327,3.766352,39.624992,3.802336,1035300
1985-05-09,3.802336,3.922284,3.790343,40.875000,3.922284,679500
1985-05-10,4.030239,4.030239,3.982258,41.874992,4.018246,1201800
1985-05-13,4.018246,4.018246,3.982258,41.499992,3.982258,120300
1985-05-14,3.994254,4.030239,3.934282,41.250000,3.958268,612900
1985-05-15,3.982258,4.078219,3.970266,42.249992,4.054227,1057500
1985-05-16,4.042233,4.090210,4.042233,42.500008,4.078219,1316400
1985-05-17,4.030239,4.090210,4.030239,42.624992,4.090210,1755000
1985-05-20,4.138191,4.174176,4.090210,42.875008,4.114202,949800
1985-05-21,4.102208,4.138191,4.066223,43.125000,4.138191,1710300
1985-05-22,4.126194,4.138191,4.030239,42.375000,4.066223,894000
1985-05-23,4.066223,4.066223,3.886302,41.124992,3.946274,1218900
1985-05-24,3.946274,3.994254,3.946274,41.499992,3.982258,2248800
1985-05-28,4.018246,4.054227,3.970266,41.625000,3.994254,510900
1985-05-29,3.982258,3.982258,3.874306,40.749992,3.910290,742800
1985-05-30,3.910290,3.922284,3.862311,40.749992,3.910290,567300
1985-05-31,3.910290,3.970266,3.898295,41.375008,3.970266,636900
1985-06-03,4.006248,4.018246,3.958268,41.625000,3.994254,2117400
