Date,Open,High,Low,Close,Adj Close,Volume
1990-03-26,7.937704,8.158200,7.937704,9.125002,8.047956,5100
1990-03-27,7.937704,8.047956,7.937704,9.125002,8.047956,15200
1990-03-28,7.937704,8.268442,7.937704,8.999994,7.937704,24100
1990-03-29,8.158200,8.268442,7.937704,9.249999,8.158200,32800
1990-03-30,8.158200,8.378695,8.047956,9.500003,8.378695,96600
1990-04-02,8.047956,8.268442,8.047956,9.374996,8.268442,17700
1990-04-03,8.268442,8.268442,8.047956,9.374996,8.268442,3800
1990-04-04,8.047956,8.268442,8.047956,9.374996,8.268442,4200
1990-04-05,8.047956,8.268442,8.047956,9.125002,8.047956,55900
1990-04-06,8.158200,8.158200,7.937704,9.249999,8.158200,47600
1990-04-09,7.937704,8.158200,7.937704,9.249999,8.158200,5800
1990-04-10,7.937704,8.158200,7.937704,9.249999,8.158200,11400
1990-04-11,7.937704,8.158200,7.937704,8.999994,7.937704,15400
1990-04-12,7.937704,8.158200,7.937704,9.249999,8.158200,8100
1990-04-16,7.937704,8.158200,7.937704,8.999994,7.937704,3800
1990-04-17,7.937704,8.158200,7.937704,9.249999,8.158200,13900
1990-04-18,7.937704,8.047956,7.937704,9.125002,8.047956,23200
1990-04-19,8.047956,8.047956,7.937704,9.125002,8.047956,9600
1990-04-20,8.047956,8.158200,7.937704,9.125002,8.047956,48400
1990-04-23,7.937704,8.047956,7.937704,8.999994,7.937704,11600
1990-04-24,7.937704,7.937704,7.937704,8.999994,7.937704,6400
1990-04-25,7.937704,8.047956,7.937704,8.999994,7.937704,38000
1990-04-26,7.937704,8.047956,7.937704,8.999994,7.937704,36000
1990-04-27,7.937704,8.047956,7.937704,8.999994,7.937704,15600
1990-04-30,7.937704,8.047956,7.937704,8.999994,7.937704,51300
1990-05-01,8.248347,8.248347,7.909376,9.125000,8.248347,8500
1990-05-02,8.248347,8.248347,8.248347,9.125000,8.248347,2000
1990-05-03,8.248347,8.248347,7.909376,9.125000,8.248347,29500
1990-05-04,7.909376,8.022365,7.796383,8.875000,8.022365,23500
1990-05-07,8.022365,8.022365,7.796383,8.875000,8.022365,6200
1990-05-08,8.022365,8.022365,7.796383,8.875000,8.022365,11300
1990-05-09,7.796383,8.022365,7.570401,8.750000,7.909376,13200
1990-05-10,7.909376,7.909376,7.570401,8.625000,7.796383,10700
1990-05-11,7.796383,7.796383,7.570401,8.500000,7.683393,7800
1990-05-14,7.683393,7.683393,7.457411,8.500000,7.683393,29200
1990-05-15,7.457411,7.457411,7.457411,8.250000,7.457411,4300
1990-05-16,7.457411,7.457411,6.553482,7.250000,6.553482,22700
1990-05-17,6.553482,6.553482,4.180669,5.250000,4.745624,104200
1990-05-18,4.858615,4.858615,3.163749,4.000000,3.615714,847100
1990-05-21,3.615714,4.745624,3.615714,4.750000,4.293660,231500
1990-05-22,4.406651,4.406651,3.954688,4.625000,4.180669,350200
1990-05-23,4.293660,4.632634,3.954688,4.875000,4.406651,214500
1990-05-24,4.406651,4.632634,4.180669,4.875000,4.406651,155600
1990-05-25,4.293660,4.406651,4.067678,4.500000,4.067678,113800
1990-05-29,4.067678,4.180669,3.615714,4.375000,3.954688,130100
1990-05-30,4.067678,4.067678,3.728706,4.250000,3.841696,23200
1990-05-31,3.728706,4.180669,3.728706,4.500000,4.067678,60100
1990-06-01,4.067678,4.180669,3.615714,4.250000,3.841696,240900
1990-06-04,4.180669,4.180669,3.841696,4.500000,4.067678,32300
1990-06-05,3.841696,4.406651,3.841696,4.500000,4.067678,57200
1990-06-06,4.180669,4.180669,3.954688,4.375000,3.954688,13800
1990-06-07,4.067678,4.067678,3.954688,4.375000,3.954688,16400
1990-06-08,3.954688,3.954688,3.728706,4.250000,3.841696,49100
1990-06-11,3.728706,3.954688,3.502723,4.125000,3.728706,56000
1990-06-12,3.728706,3.841696,3.615714,4.000000,3.615714,44800
1990-06-13,3.615714,3.728706,3.389732,3.750000,3.389732,63800
1990-06-14,3.502723,3.841696,3.502723,4.250000,3.841696,42300
1990-06-15,3.841696,4.067678,3.728706,4.500000,4.067678,25700
1990-06-18,3.728706,4.067678,3.728706,4.375000,3.954688,21300
1990-06-19,3.954688,3.954688,3.728706,4.375000,3.954688,25100
1990-06-20,3.728706,3.954688,3.728706,4.250000,3.841696,31100
1990-06-21,3.728706,4.067678,3.728706,4.500000,4.067678,87200
1990-06-22,3.954688,4.067678,3.841696,4.500000,4.067678,72200
1990-06-25,3.841696,3.954688,3.615714,4.250000,3.841696,24100
1990-06-26,3.615714,3.841696,3.502723,4.250000,3.841696,29400
1990-06-27,3.615714,3.841696,3.615714,4.000000,3.615714,16000
1990-06-28,3.615714,3.728706,3.502723,4.062500,3.672210,25800
1990-06-29,3.728706,3.728706,3.502723,4.125000,3.728706,16500
1990-07-02,3.841696,3.954688,3.728706,4.375000,3.954688,10400
1990-07-03,3.954688,3.954688,3.728706,4.250000,3.841696,66600
