Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.650268,1.659676,1.648386,109.625000,1.650268,72000
1970-01-05,1.652150,1.661558,1.652150,110.250000,1.659676,446400
1970-01-06,1.659676,1.676612,1.657794,111.375000,1.676612,176000
1970-01-07,1.676612,1.689784,1.672848,112.000000,1.686021,164800
1970-01-08,1.686021,1.712366,1.682257,113.500000,1.708602,304000
1970-01-09,1.708602,1.714246,1.695427,113.250000,1.704838,139200
1970-01-12,1.704838,1.706720,1.693547,113.375000,1.706720,118400
1970-01-13,1.706720,1.716128,1.701074,113.000000,1.701074,262400
1970-01-14,1.702956,1.727418,1.702956,114.250000,1.719891,377600
1970-01-15,1.712366,1.712366,1.686021,112.000000,1.686021,169600
1970-01-16,1.686021,1.697310,1.644623,111.250000,1.674731,289600
1970-01-19,1.655912,1.655912,1.633333,109.000000,1.640861,179200
1970-01-20,1.640861,1.654032,1.633333,109.875000,1.654032,172800
1970-01-21,1.654032,1.654032,1.638978,109.625000,1.650268,272000
1970-01-22,1.650268,1.663440,1.646505,110.250000,1.659676,318400
1970-01-23,1.659676,1.665323,1.642742,109.125000,1.642742,176000
1970-01-26,1.642742,1.654032,1.625806,108.625000,1.635215,278400
1970-01-27,1.635215,1.637096,1.584409,105.250000,1.584409,217600
1970-01-28,1.584409,1.599461,1.573117,104.625000,1.574999,344000
1970-01-29,1.573117,1.573117,1.550538,103.000000,1.550538,296000
1970-01-30,1.550538,1.550538,1.499732,100.375000,1.511021,430400
1970-02-02,1.511021,1.512902,1.499732,100.375000,1.511021,340800
1970-02-03,1.511021,1.558064,1.511021,103.000000,1.550538,692800
1970-02-04,1.550538,1.550538,1.509138,100.875000,1.518548,392000
1970-02-05,1.518548,1.518548,1.505375,100.500000,1.512902,292800
1970-02-06,1.512902,1.518548,1.505375,100.250000,1.509138,313600
1970-02-09,1.511021,1.533602,1.511021,101.250000,1.524193,283200
1970-02-10,1.524193,1.531719,1.516664,101.625000,1.529839,267200
1970-02-11,1.529839,1.537364,1.524193,101.375000,1.526074,392000
1970-02-12,1.537364,1.554300,1.537364,103.250000,1.554300,217600
1970-02-13,1.554300,1.563708,1.548655,103.625000,1.559945,148800
1970-02-16,1.565591,1.591935,1.565591,105.750000,1.591935,142400
1970-02-17,1.599461,1.627687,1.599461,107.125000,1.612634,158400
1970-02-18,1.618279,1.654032,1.618279,108.750000,1.637096,683200
1970-02-19,1.637096,1.648386,1.629569,108.750000,1.637096,272000
1970-02-20,1.637096,1.652150,1.622042,108.000000,1.625806,584000
1970-02-24,1.625806,1.625806,1.612634,107.125000,1.612634,193600
1970-02-25,1.612634,1.652150,1.612634,109.750000,1.652150,299200
1970-02-26,1.652150,1.652150,1.629569,109.375000,1.646505,270400
1970-02-27,1.646505,1.650268,1.629569,109.000000,1.640861,152000
1970-03-02,1.640861,1.652150,1.637096,108.750000,1.637096,112000
1970-03-03,1.637096,1.638978,1.614515,107.750000,1.622042,128000
1970-03-04,1.622042,1.640861,1.618279,108.625000,1.635215,331200
1970-03-05,1.633333,1.633333,1.605107,107.000000,1.610752,168000
1970-03-06,1.610752,1.614515,1.595699,106.500000,1.603225,172800
1970-03-09,1.603225,1.606989,1.584409,105.625000,1.590053,120000
1970-03-10,1.590053,1.601343,1.573117,106.375000,1.601343,444800
1970-03-11,1.601343,1.610752,1.591935,106.250000,1.599461,201600
1970-03-12,1.599461,1.603225,1.588172,106.000000,1.595699,80000
1970-03-13,1.595699,1.601343,1.574999,106.000000,1.595699,155200
1970-03-16,1.573117,1.573117,1.535484,102.250000,1.539247,388800
1970-03-17,1.539247,1.571235,1.539247,103.000000,1.550538,228800
1970-03-18,1.550538,1.558064,1.541128,102.750000,1.546773,236800
1970-03-19,1.546773,1.556182,1.541128,103.125000,1.552420,126400
1970-03-20,1.550538,1.550538,1.524193,102.000000,1.535484,251200
1970-03-23,1.535484,1.539247,1.509138,100.500000,1.512902,393600
1970-03-24,1.520430,1.533602,1.520430,101.375000,1.526074,204800
1970-03-25,1.535484,1.578762,1.535484,103.625000,1.559945,436800
1970-03-26,1.559945,1.576881,1.550538,103.375000,1.556182,254400
1970-03-30,1.556182,1.565591,1.544892,104.000000,1.565591,198400
1970-03-31,1.565591,1.584409,1.558064,104.500000,1.573117,224000
1970-04-01,1.580645,1.608870,1.580645,106.125000,1.597580,241600
1970-04-02,1.597580,1.608870,1.597580,106.625000,1.605107,86400
1970-04-03,1.605107,1.605107,1.595699,106.375000,1.601343,121600
1970-04-06,1.595699,1.595699,1.567473,104.250000,1.569354,136000
1970-04-07,1.569354,1.576881,1.548655,104.250000,1.569354,681600
1970-04-08,1.569354,1.569354,1.550538,103.250000,1.554300,148800
1970-04-09,1.554300,1.565591,1.550538,103.625000,1.559945,225600
1970-04-10,1.559945,1.565591,1.548655,103.500000,1.558064,171200
1970-04-13,1.558064,1.558064,1.537364,102.750000,1.546773,131200
1970-04-14,1.543011,1.543011,1.527956,102.125000,1.537364,160000
1970-04-15,1.537364,1.550538,1.516664,101.000000,1.520430,363200
1970-04-16,1.520430,1.531719,1.514785,100.750000,1.516664,324800
1970-04-17,1.516664,1.516664,1.490322,99.000000,1.490322,363200
1970-04-20,1.490322,1.497847,1.486559,99.000000,1.490322,267200
1970-04-21,1.490322,1.527956,1.480914,98.500000,1.482795,472000
1970-04-22,1.479031,1.479031,1.452686,96.500000,1.452686,481600
1970-04-23,1.447043,1.447043,1.424461,95.250000,1.433870,524800
1970-04-24,1.433870,1.450805,1.420698,96.000000,1.445161,435200
1970-04-27,1.443279,1.443279,1.428225,95.000000,1.430107,257600
1970-04-28,1.430107,1.450805,1.418816,94.375000,1.420698,326400
1970-04-29,1.420698,1.428225,1.399999,94.875000,1.428225,448000
1970-04-30,1.428225,1.430107,1.392472,93.750000,1.411290,683200
1970-05-01,1.411290,1.424461,1.403763,94.000000,1.415053,260800
1970-05-04,1.403763,1.403763,1.364246,90.750000,1.366128,675200
1970-05-05,1.366128,1.369893,1.347311,89.875000,1.352956,564800
1970-05-06,1.352956,1.381182,1.347311,91.125000,1.371774,723200
1970-05-07,1.371774,1.403763,1.371774,93.250000,1.403763,353600
1970-05-08,1.403763,1.418816,1.396236,94.000000,1.415053,220800
1970-05-11,1.415053,1.426343,1.396236,92.875000,1.398118,196800
1970-05-12,1.398118,1.405644,1.375537,92.125000,1.386827,332800
1970-05-13,1.375537,1.375537,1.339784,89.000000,1.339784,366400
1970-05-14,1.332256,1.332256,1.309677,88.500000,1.332256,702400
1970-05-15,1.332256,1.358602,1.324731,90.000000,1.354838,302400
1970-05-18,1.361465,1.367138,1.348228,90.375000,1.367138,292800
1970-05-19,1.367138,1.367138,1.336883,88.500000,1.338774,174400
1970-05-20,1.338774,1.340665,1.278265,84.625000,1.280156,425600
1970-05-21,1.270700,1.270700,1.240445,83.750000,1.266919,784000
1970-05-22,1.266919,1.278265,1.242337,83.500000,1.263137,196800
1970-05-25,1.263137,1.263137,1.179936,78.000000,1.179936,508800
1970-05-26,1.179936,1.206410,1.172372,77.750000,1.176155,675200
1970-05-27,1.176155,1.246118,1.176155,82.375000,1.246118,480000
1970-05-28,1.246118,1.266919,1.236665,83.125000,1.257464,668800
1970-05-29,1.257464,1.278265,1.240445,84.500000,1.278265,377600
1970-06-01,1.278265,1.312302,1.278265,85.125000,1.287718,406400
1970-06-02,1.287718,1.300956,1.282047,86.000000,1.300956,350400
1970-06-03,1.300956,1.319865,1.300956,87.125000,1.317973,176000
1970-06-04,1.317973,1.334992,1.289611,85.875000,1.299064,406400
1970-06-05,1.299064,1.300956,1.278265,85.375000,1.291500,347200
1970-06-08,1.291500,1.300956,1.274482,84.250000,1.274482,585600
1970-06-09,1.272591,1.272591,1.257464,83.500000,1.263137,136000
1970-06-10,1.261246,1.261246,1.234773,82.125000,1.242337,217600
1970-06-11,1.242337,1.251793,1.219646,81.000000,1.225318,166400
1970-06-12,1.225318,1.225318,1.206410,80.500000,1.217755,336000
1970-06-15,1.242337,1.242337,1.210191,81.000000,1.225318,244800
1970-06-16,1.225318,1.253682,1.223427,82.875000,1.253682,254400
1970-06-17,1.251793,1.251793,1.238555,82.250000,1.244228,312000
1970-06-18,1.244228,1.259355,1.225318,81.750000,1.236665,665600
1970-06-19,1.236665,1.242337,1.210191,82.000000,1.240445,3617600
1970-06-22,1.236665,1.236665,1.219646,81.250000,1.229101,174400
1970-06-23,1.229101,1.229101,1.210191,80.125000,1.212082,222400
1970-06-24,1.212082,1.215863,1.202627,79.500000,1.202627,216000
1970-06-25,1.200737,1.200737,1.155355,77.750000,1.176155,406400
1970-06-26,1.176155,1.179936,1.164809,77.500000,1.172372,360000
1970-06-29,1.162918,1.162918,1.138336,76.000000,1.149682,225600
1970-06-30,1.149682,1.164809,1.142118,75.500000,1.142118,256000
1970-07-01,1.142118,1.144009,1.111863,73.500000,1.111863,286400
1970-07-02,1.111863,1.128881,1.104300,73.750000,1.115645,336000
1970-07-06,1.111863,1.111863,1.083500,71.750000,1.085391,419200
1970-07-07,1.085391,1.091064,1.074045,71.500000,1.081609,486400
1970-07-08,1.089172,1.134554,1.089172,75.000000,1.134554,422400
1970-07-09,1.134554,1.181827,1.134554,75.375000,1.140227,1344000
1970-07-10,1.140227,1.144009,1.130773,74.750000,1.130773,193600
1970-07-13,1.130773,1.132663,1.117536,73.875000,1.117536,252800
1970-07-14,1.119426,1.130773,1.119426,74.750000,1.130773,379200
1970-07-15,1.130773,1.145900,1.130773,75.750000,1.145900,401600
1970-07-16,1.157245,1.185608,1.157245,77.875000,1.178046,521600
1970-07-17,1.183718,1.206410,1.183718,79.750000,1.206410,380800
1970-07-20,1.206410,1.208300,1.189391,79.125000,1.196955,238400
1970-07-21,1.196955,1.206410,1.191282,79.750000,1.206410,256000
1970-07-22,1.206410,1.223427,1.195064,80.125000,1.212082,454400
1970-07-23,1.212082,1.230991,1.206410,81.375000,1.230991,374400
1970-07-24,1.230991,1.230991,1.210191,81.000000,1.225318,483200
1970-07-27,1.223427,1.223427,1.215863,80.500000,1.217755,136000
1970-07-28,1.217755,1.221537,1.210191,80.500000,1.217755,256000
1970-07-29,1.217755,1.227209,1.213974,80.500000,1.217755,451200
1970-07-30,1.217755,1.221537,1.212082,80.750000,1.221537,179200
1970-07-31,1.221537,1.225318,1.213974,80.750000,1.221537,233600
1970-08-03,1.221537,1.229101,1.213974,80.750000,1.221537,728000
1970-08-04,1.219646,1.219646,1.208300,80.500000,1.217755,240000
1970-08-05,1.217755,1.221537,1.212082,80.625000,1.219646,177600
1970-08-06,1.219646,1.244228,1.215863,82.250000,1.244228,200000
1970-08-07,1.244228,1.276373,1.240445,83.125000,1.257464,928000
1970-08-10,1.257464,1.263137,1.246118,82.750000,1.251793,128000
1970-08-11,1.251793,1.253682,1.229101,82.375000,1.246118,236800
1970-08-12,1.246118,1.246118,1.227209,81.250000,1.229101,108800
1970-08-13,1.229101,1.229101,1.206410,79.875000,1.208300,281600
1970-08-14,1.208300,1.208300,1.181827,78.125000,1.181827,320000
1970-08-17,1.188491,1.194196,1.186590,78.375000,1.192294,204800
1970-08-18,1.197999,1.215115,1.197999,79.125000,1.203704,265600
1970-08-19,1.205606,1.222720,1.205606,80.125000,1.218917,320000
1970-08-20,1.218917,1.239834,1.217015,81.500000,1.239834,212800
1970-08-21,1.239834,1.285473,1.226524,84.500000,1.285473,238400
1970-08-24,1.285473,1.331110,1.283571,86.250000,1.312094,2142400
1970-08-25,1.312094,1.327307,1.302587,87.000000,1.323504,416000
1970-08-26,1.323504,1.336815,1.321602,87.000000,1.323504,283200
1970-08-27,1.323504,1.342520,1.323504,87.750000,1.334914,160000
1970-08-28,1.334914,1.363438,1.334914,88.375000,1.344421,507200
1970-08-31,1.344421,1.352028,1.319701,87.875000,1.336815,155200
1970-09-01,1.336815,1.336815,1.293079,85.250000,1.296881,1584000
1970-09-02,1.296881,1.296881,1.281669,85.000000,1.293079,172800
1970-09-03,1.293079,1.317800,1.281669,85.000000,1.293079,976000
1970-09-04,1.293079,1.298783,1.285473,84.750000,1.289275,364800
1970-09-08,1.289275,1.296881,1.279768,84.375000,1.283571,209600
1970-09-09,1.283571,1.304489,1.281669,85.750000,1.304489,448000
1970-09-10,1.304489,1.308291,1.281669,85.625000,1.302587,456000
1970-09-11,1.302587,1.315898,1.294981,85.125000,1.294981,123200
1970-09-14,1.294981,1.308291,1.289275,85.375000,1.298783,331200
1970-09-15,1.298783,1.304489,1.287374,85.750000,1.304489,105600
1970-09-16,1.304489,1.315898,1.296881,85.875000,1.306389,368000
1970-09-17,1.306389,1.312094,1.300686,86.000000,1.308291,254400
1970-09-18,1.308291,1.313996,1.302587,86.250000,1.312094,288000
1970-09-21,1.312094,1.334914,1.304489,86.000000,1.308291,177600
1970-09-22,1.308291,1.310194,1.298783,85.750000,1.304489,307200
1970-09-23,1.308291,1.334914,1.308291,87.250000,1.327307,332800
1970-09-24,1.334914,1.382453,1.334914,90.000000,1.369142,304000
1970-09-25,1.369142,1.369142,1.338717,88.125000,1.340618,710400
1970-09-28,1.340618,1.353930,1.334914,88.000000,1.338717,148800
1970-09-29,1.338717,1.338717,1.327307,87.500000,1.331110,316800
1970-09-30,1.331110,1.344421,1.329209,88.375000,1.344421,331200
1970-10-01,1.344421,1.352028,1.319701,87.000000,1.323504,1632000
1970-10-02,1.323504,1.334914,1.319701,87.375000,1.329209,452800
1970-10-05,1.329209,1.350126,1.325405,88.750000,1.350126,432000
1970-10-06,1.350126,1.365339,1.350126,89.625000,1.363438,785600
1970-10-07,1.363438,1.374847,1.355831,89.750000,1.365339,360000
1970-10-08,1.365339,1.372945,1.353930,89.250000,1.357733,355200
1970-10-09,1.357733,1.359635,1.338717,88.000000,1.338717,377600
1970-10-12,1.338717,1.346323,1.325405,87.750000,1.334914,80000
1970-10-13,1.334914,1.334914,1.323504,87.500000,1.331110,144000
1970-10-14,1.331110,1.359635,1.331110,89.000000,1.353930,152000
1970-10-15,1.353930,1.369142,1.348225,89.875000,1.367241,462400
