Date,Open,High,Low,Close,Adj Close,Volume
1986-07-09,4.545402,4.623770,4.545402,43.750000,4.571526,1478000
1986-07-10,4.597647,4.649891,4.584587,44.250000,4.623770,589200
1986-07-11,4.623770,4.623770,4.571526,44.000000,4.597647,320400
1986-07-14,4.571526,4.597647,4.493155,43.000000,4.493155,434000
1986-07-15,4.519279,4.545402,4.310294,41.250000,4.310294,741600
1986-07-16,4.310294,4.414786,4.310294,42.000000,4.388662,606400
1986-07-17,4.440907,4.519279,4.414786,43.000000,4.493155,584000
1986-07-18,4.493155,4.545402,4.467033,42.750000,4.467033,246800
1986-07-21,4.519279,4.519279,4.467033,42.750000,4.467033,168000
1986-07-22,4.467033,4.545402,4.467033,43.250000,4.519279,286400
1986-07-23,4.519279,4.545402,4.493155,43.000000,4.493155,480000
1986-07-24,4.519279,4.571526,4.493155,43.000000,4.493155,516800
1986-07-25,4.467033,4.519279,4.467033,43.000000,4.493155,288800
1986-07-28,4.493155,4.493155,4.388662,42.000000,4.388662,512400
1986-07-29,4.388662,4.388662,4.310294,41.250000,4.310294,363600
1986-07-30,4.310294,4.362543,4.231926,41.250000,4.310294,1024800
1986-07-31,4.310294,4.310294,4.022941,40.250000,4.205803,3426000
1986-08-01,4.179681,4.284173,4.179681,40.500000,4.231926,1432400
1986-08-04,4.231926,4.310294,4.101312,39.500000,4.127433,812400
1986-08-05,4.127433,4.205803,4.127433,39.750000,4.153556,990000
1986-08-06,4.179681,4.179681,4.022941,39.500000,4.127433,1485600
1986-08-07,4.075187,4.127433,4.075187,39.250000,4.101312,1701200
1986-08-08,4.101312,4.179681,3.944572,38.250000,3.996818,2858400
1986-08-11,4.022941,4.127433,3.996818,38.625000,4.036003,1228800
1986-08-12,4.075187,4.075187,3.918451,38.250000,3.996818,2822800
1986-08-13,3.996818,4.153556,3.970696,39.500000,4.127433,4560000
1986-08-14,4.075187,4.153556,4.075187,39.500000,4.127433,2767600
1986-08-15,4.127433,4.231926,4.114372,40.500000,4.231926,1017200
1986-08-18,4.231926,4.258049,4.153556,40.000000,4.179681,765200
1986-08-19,4.179681,4.179681,4.049065,39.500000,4.127433,1069600
1986-08-20,4.127433,4.153556,4.101312,39.500000,4.127433,625600
1986-08-21,4.153556,4.166618,4.075187,39.250000,4.101312,1936800
1986-08-22,4.127433,4.153556,4.101312,39.750000,4.153556,583600
1986-08-25,4.153556,4.153556,4.049065,38.750000,4.049065,627200
1986-08-26,4.101312,4.205803,4.075187,40.250000,4.205803,1796800
