Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,1.668816,1.671772,1.550670,70.250000,1.659956,5020600
1983-11-22,1.659956,1.683584,1.651095,70.000000,1.654048,2666700
1983-11-23,1.654048,1.659956,1.636327,69.625000,1.645187,1151900
1983-11-25,1.645187,1.648140,1.627465,68.875000,1.627465,1771800
1983-11-28,1.618604,1.618604,1.577253,66.999992,1.583161,2367800
1983-11-29,1.580207,1.580207,1.562485,66.249992,1.565438,1630400
1983-11-30,1.565438,1.577253,1.559531,66.249992,1.565438,2423100
1983-12-01,1.565438,1.577253,1.556578,66.249992,1.565438,6249000
1983-12-02,1.565438,1.583161,1.553624,66.124992,1.562485,1763800
1983-12-05,1.562485,1.565438,1.544762,65.374992,1.544762,1084300
1983-12-06,1.544762,1.556578,1.544762,65.625000,1.550670,2176500
1983-12-07,1.550670,1.577253,1.550670,66.249992,1.565438,4855900
1983-12-08,1.565438,1.574300,1.562485,66.374992,1.568392,7360000
1983-12-09,1.568392,1.580207,1.568392,66.500000,1.571346,5222400
1983-12-12,1.571346,1.580207,1.568392,66.624992,1.574300,2834900
1983-12-13,1.577253,1.603837,1.577253,67.624992,1.597929,6692900
1983-12-14,1.597929,1.609743,1.597929,67.874992,1.603837,2520800
1983-12-15,1.603837,1.603837,1.592022,67.374992,1.592022,2323400
1983-12-16,1.592022,1.606790,1.592022,67.749992,1.600882,2452400
1983-12-19,1.600882,1.600882,1.594976,67.499992,1.594976,1610800
1983-12-20,1.594976,1.600882,1.583161,67.124992,1.586114,1937400
1983-12-21,1.586114,1.592022,1.571346,66.749992,1.577253,1935600
1983-12-22,1.574300,1.574300,1.556578,65.874992,1.556578,4871100
1983-12-23,1.556578,1.559531,1.544762,65.499992,1.547716,2338500
1983-12-27,1.544762,1.544762,1.535902,65.125000,1.538856,3004800
1983-12-28,1.538856,1.553624,1.538856,65.625000,1.550670,4580100
1983-12-29,1.550670,1.556578,1.547716,65.499992,1.547716,2998600
1983-12-30,1.547716,1.550670,1.538856,65.249992,1.541809,1745100
1984-01-03,1.550670,1.589068,1.550670,67.124992,1.586114,1973700
1984-01-04,1.594976,1.662910,1.594976,69.124992,1.633373,3632800
1984-01-05,1.645187,1.680631,1.645187,69.750000,1.648140,3759100
1984-01-06,1.642234,1.689492,1.642234,71.000000,1.677678,4508100
1984-01-09,1.677678,1.677678,1.657001,70.124992,1.657001,1791400
1984-01-10,1.657001,1.662910,1.651095,70.374992,1.662910,1571700
1984-01-11,1.662910,1.671772,1.662910,70.500000,1.665863,1258500
1984-01-12,1.665863,1.677678,1.662910,71.000000,1.677678,1421300
1984-01-13,1.686538,1.707214,1.686538,71.499992,1.689492,3148000
1984-01-16,1.701307,1.736751,1.701307,72.125000,1.704260,2448900
1984-01-17,1.710167,1.724936,1.710167,72.749985,1.719029,2151700
1984-01-18,1.719029,1.724936,1.710167,73.000000,1.724936,2929200
1984-01-19,1.724936,1.733797,1.716076,73.000000,1.724936,1812700
1984-01-20,1.724936,1.736751,1.724936,73.499992,1.736751,2088500
1984-01-23,1.736751,1.736751,1.727889,73.125000,1.727889,1159800
1984-01-24,1.727889,1.730843,1.724936,73.000000,1.724936,1173100
1984-01-25,1.724936,1.736751,1.724936,73.125000,1.727889,1711300
1984-01-26,1.727889,1.733797,1.719029,72.749985,1.719029,2941600
1984-01-27,1.719029,1.766287,1.719029,73.749985,1.742658,3006600
1984-01-30,1.742658,1.748565,1.727889,73.499992,1.736751,2378600
1984-01-31,1.736751,1.745611,1.733797,73.875000,1.745611,1618900
1984-02-01,1.745611,1.760379,1.733797,74.124992,1.751519,1755800
1984-02-02,1.751519,1.772194,1.742658,74.749992,1.766287,3180900
1984-02-03,1.766287,1.775148,1.739705,73.625000,1.739705,2632000
1984-02-06,1.736751,1.736751,1.721982,73.249992,1.730843,1496100
1984-02-07,1.727889,1.727889,1.707214,73.125000,1.727889,2166000
1984-02-08,1.721982,1.721982,1.665863,70.500000,1.665863,3898000
1984-02-09,1.665863,1.683584,1.665863,70.625000,1.668816,2035200
1984-02-10,1.662910,1.662910,1.645187,70.250000,1.659956,1963100
1984-02-13,1.659956,1.665863,1.645187,70.124992,1.657001,2589400
1984-02-14,1.657001,1.683584,1.657001,71.000000,1.677678,2308300
1984-02-15,1.677678,1.689492,1.662910,71.499992,1.689492,3431800
1984-02-16,1.701307,1.713120,1.701307,72.499992,1.713120,2198000
1984-02-17,1.713120,1.730843,1.704260,72.499992,1.713120,2092100
1984-02-21,1.713120,1.713120,1.692446,71.749992,1.695399,901900
1984-02-22,1.695399,1.698353,1.674724,70.875000,1.674724,2301900
1984-02-23,1.674724,1.677678,1.636327,70.124992,1.657001,3991400
1984-02-24,1.657001,1.683584,1.651095,71.124992,1.680631,2882900
1984-02-27,1.677678,1.677678,1.665863,70.875000,1.674724,1392900
1984-02-28,1.674724,1.680631,1.636327,69.625000,1.645187,1844000
1984-02-29,1.645187,1.677678,1.645187,70.749992,1.671772,1538700
1984-03-01,1.671772,1.701307,1.668816,71.874992,1.698353,1686500
1984-03-02,1.710167,1.736751,1.710167,72.874992,1.721982,2618700
1984-03-05,1.719029,1.719029,1.689492,71.499992,1.689492,1004100
1984-03-06,1.689492,1.701307,1.680631,71.625000,1.692446,1658000
1984-03-07,1.692446,1.698353,1.683584,71.375008,1.686538,1157200
1984-03-08,1.686538,1.692446,1.674724,71.249992,1.683584,1531700
1984-03-09,1.683584,1.683584,1.657001,70.625000,1.668816,1591300
1984-03-12,1.668816,1.683584,1.659956,70.625000,1.668816,2020000
1984-03-13,1.668816,1.683584,1.662910,70.749992,1.671772,3405000
1984-03-14,1.674724,1.680631,1.665863,70.875000,1.674724,2823300
1984-03-15,1.674724,1.698353,1.671772,70.749992,1.671772,2071600
1984-03-16,1.683584,1.701307,1.683584,71.625000,1.692446,2681000
1984-03-19,1.689492,1.689492,1.671772,70.875000,1.674724,2359000
1984-03-20,1.674724,1.686538,1.665863,71.375008,1.686538,1939900
1984-03-21,1.686538,1.686538,1.674724,71.124992,1.680631,1823500
1984-03-22,1.680631,1.683584,1.671772,71.000000,1.677678,3875700
1984-03-23,1.677678,1.686538,1.665863,71.375008,1.686538,2400800
1984-03-26,1.694997,1.704061,1.691976,70.124992,1.694997,2479000
1984-03-27,1.694997,1.704061,1.691976,70.124992,1.694997,2479000
1984-03-28,1.698019,1.707083,1.698019,70.250000,1.698019,1105600
1984-03-29,1.701040,1.710104,1.701040,70.500000,1.704061,1230200
1984-03-30,1.704061,1.716148,1.701040,70.374992,1.701040,1709600
1984-04-02,1.701040,1.701040,1.667804,69.499992,1.679891,3476200
1984-04-03,1.679891,1.688954,1.673848,69.499992,1.679891,3167600
1984-04-04,1.679891,1.691976,1.661762,68.749992,1.661762,1837600
1984-04-05,1.661762,1.670825,1.637592,67.874992,1.640612,1261200
1984-04-06,1.643634,1.655720,1.643634,68.249992,1.649676,1395500
1984-04-09,1.649676,1.658741,1.625506,67.249992,1.625506,1220200
1984-04-10,1.625506,1.640612,1.625506,67.249992,1.625506,1908800
1984-04-11,1.625506,1.628527,1.595292,66.624992,1.610398,1806600
1984-04-12,1.610398,1.613419,1.595292,66.624992,1.610398,2258400
1984-04-13,1.610398,1.625506,1.595292,66.374992,1.604355,3348100
1984-04-16,1.604355,1.610398,1.598312,66.249992,1.601335,1379500
1984-04-17,1.604355,1.631548,1.604355,67.124992,1.622484,6448300
1984-04-18,1.622484,1.640612,1.616442,66.874992,1.616442,3972600
1984-04-19,1.616442,1.616442,1.607376,66.749992,1.613419,2277100
1984-04-23,1.613419,1.625506,1.607376,66.999992,1.619462,1508600
1984-04-24,1.619462,1.655720,1.613419,67.999992,1.643634,1869700
1984-04-25,1.643634,1.667804,1.640612,68.875000,1.664784,1320900
1984-04-26,1.664784,1.691976,1.664784,70.000000,1.691976,2325100
1984-04-27,1.691976,1.704061,1.670825,69.249992,1.673848,1419500
1984-04-30,1.673848,1.676869,1.646655,68.875000,1.664784,1348400
1984-05-01,1.667804,1.698019,1.667804,69.875000,1.688954,1558300
1984-05-02,1.688954,1.713126,1.688954,70.625000,1.707083,1440000
1984-05-03,1.707083,1.722190,1.707083,70.875000,1.713126,1946200
1984-05-04,1.713126,1.719168,1.691976,70.124992,1.694997,1182900
1984-05-07,1.694997,1.694997,1.679891,69.750000,1.685933,911700
1984-05-08,1.685933,1.707083,1.682911,70.500000,1.704061,2358100
1984-05-09,1.707083,1.734276,1.707083,71.000000,1.716148,1525500
1984-05-10,1.716148,1.722190,1.704061,71.124992,1.719168,1154600
1984-05-11,1.716148,1.716148,1.701040,70.749992,1.710104,919600
1984-05-14,1.707083,1.707083,1.694997,70.250000,1.698019,867100
1984-05-15,1.698019,1.704061,1.688954,70.124992,1.694997,1392900
1984-05-16,1.694997,1.694997,1.685933,69.750000,1.685933,1199900
1984-05-17,1.685933,1.685933,1.661762,69.000000,1.667804,1306600
1984-05-18,1.667804,1.673848,1.655720,68.749992,1.661762,2086800
1984-05-21,1.661762,1.679891,1.661762,68.749992,1.661762,953500
1984-05-22,1.661762,1.661762,1.640612,68.499992,1.655720,1098400
1984-05-23,1.655720,1.661762,1.646655,68.624992,1.658741,896400
1984-05-24,1.658741,1.688954,1.646655,69.750000,1.685933,1090500
