Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.224256,0.225163,0.223801,62.000000,0.225163,1174400
1970-01-05,0.225163,0.228795,0.224709,63.000000,0.228795,1881600
1970-01-06,0.228795,0.229249,0.226071,62.875000,0.228341,1232000
1970-01-07,0.228341,0.228341,0.226525,62.500000,0.226979,918400
1970-01-08,0.226979,0.228795,0.226071,62.625000,0.227433,1075200
1970-01-09,0.227433,0.228341,0.226525,62.875000,0.228341,1072000
1970-01-12,0.228341,0.228795,0.226525,62.375000,0.226525,892800
1970-01-13,0.226525,0.227887,0.225617,62.125000,0.225617,1248000
1970-01-14,0.225617,0.226071,0.224709,62.250000,0.226071,1328000
1970-01-15,0.226071,0.226071,0.223348,61.625000,0.223801,1206400
1970-01-16,0.223801,0.225163,0.223801,61.875000,0.224709,1100800
1970-01-19,0.224709,0.225163,0.223348,61.875000,0.224709,700800
1970-01-20,0.224709,0.226071,0.223801,61.625000,0.223801,1241600
1970-01-21,0.223801,0.225163,0.223348,61.500000,0.223348,841600
1970-01-22,0.223348,0.223801,0.221532,61.125000,0.221986,1382400
1970-01-23,0.221986,0.221986,0.218354,60.250000,0.218808,1878400
1970-01-26,0.218808,0.219716,0.217900,60.375000,0.219262,1043200
1970-01-27,0.218354,0.218354,0.216084,60.000000,0.217900,2054400
1970-01-28,0.217900,0.217900,0.210637,58.125000,0.211091,1488000
1970-01-29,0.209275,0.209275,0.206551,56.875000,0.206551,1548800
1970-01-30,0.206097,0.206097,0.203373,56.375000,0.204735,2172800
1970-02-02,0.204735,0.204735,0.203373,56.000000,0.203373,2755200
1970-02-03,0.203373,0.208821,0.202465,57.125000,0.207459,2572800
1970-02-04,0.207459,0.207913,0.206097,57.000000,0.207005,2003200
1970-02-05,0.207005,0.207005,0.206097,56.875000,0.206551,1676800
1970-02-06,0.203827,0.203827,0.201104,55.500000,0.201558,1635200
1970-02-09,0.201558,0.202465,0.200196,55.250000,0.200650,1398400
1970-02-10,0.199742,0.199742,0.191570,53.250000,0.193386,2777600
1970-02-11,0.193386,0.194748,0.190663,53.625000,0.194748,2316800
1970-02-12,0.194294,0.194294,0.187031,52.250000,0.189755,2611200
1970-02-13,0.189755,0.190209,0.187031,52.000000,0.188847,2380800
1970-02-16,0.184307,0.184307,0.182037,50.375000,0.182945,3497600
1970-02-17,0.182945,0.182945,0.181129,50.125000,0.182037,3078400
1970-02-18,0.184307,0.193386,0.184307,52.875000,0.192024,4438400
1970-02-19,0.194748,0.198380,0.194748,53.625000,0.194748,3376000
1970-02-20,0.194748,0.200650,0.192478,55.125000,0.200196,4480000
1970-02-24,0.200196,0.206097,0.198834,54.875000,0.199288,3750400
1970-02-25,0.199288,0.202919,0.192478,55.750000,0.202465,4771200
1970-02-26,0.200650,0.200650,0.195656,54.125000,0.196564,3705600
1970-02-27,0.196564,0.199288,0.196110,54.000000,0.196110,4137600
1970-03-02,0.196110,0.199288,0.194294,53.500000,0.194294,5107200
1970-03-03,0.194294,0.195202,0.192024,53.250000,0.193386,5152000
1970-03-04,0.193386,0.195202,0.193386,53.500000,0.194294,4838400
1970-03-05,0.194294,0.197472,0.194294,54.000000,0.196110,4912000
1970-03-06,0.195202,0.195202,0.192932,53.500000,0.194294,4780800
1970-03-09,0.193840,0.193840,0.192024,52.875000,0.192024,7699200
1970-03-10,0.192024,0.196564,0.190663,53.875000,0.195656,5878400
1970-03-11,0.197472,0.199742,0.197472,54.875000,0.199288,3638400
